#cambio!
#exp
#exp2
[ruta];An+;AnON;Tipo recurso;Titulo;Descripción;POSX;POSY;URL o path y nombre del archivo;Perfil;Nivel
./0/LE_U00_P008_EX03;;T1;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U00_P008_EX03.zip;;4
./0/LE_U00_P011_EX03;;T1;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U00_P011_EX03.zip;;4
./0/LE_U00_P013_EX01;;T1;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U00_P013_EX01.zip;;4
./0/LE_U00_P015_EX01;;T1;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U00_P015_EX01.zip;;4
./0/LE_U01_P021_EX01;;T2;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U01_P021_EX01.zip;;4
./0/LE_U02_P034_EX01;;T3;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U02_P034_EX01.zip;;4
./0/LE_U02_P035_EX01;;T3;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U02_P035_EX01.zip;;4
./0/LE_U02_P037_EX04;;T3;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U02_P037_EX04.zip;;4
./0/LE_U03_P048_EX01;;T4;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U03_P048_EX01.zip;;4
./0/LE_U03_P049_EX04;;T4;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U03_P049_EX04.zip;;4
./0/LE_U03_P051_EX04;;T4;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U03_P051_EX04.zip;;4
./0/LE_U03_P053_EX03;;T4;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U03_P053_EX03.zip;;4
./0/LE_U04_P062_EX03;;T5;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U04_P062_EX03.zip;;4
./0/LE_U04_P063_EX01;;T5;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U04_P063_EX01.zip;;4
./0/LE_U04_P065_EX04;;T5;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U04_P065_EX04.zip;;4
./0/LE_U05_P076_EX03;;T6;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U05_P076_EX03.zip;;4
./0/LE_U05_P077_EX02;;T6;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U05_P077_EX02.zip;;4
./0/LE_U05_P079_EX05;;T6;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U05_P079_EX05.zip;;4
./0/LE_U06_P090_EX01;;T7;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U06_P090_EX01.zip;;4
./0/LE_U06_P091_EX05;;T7;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U06_P091_EX05.zip;;4
#exp ./0/LE_U06_P093_EX04;;T7;indice;[XXXXX-- no existe data0.xml ni data.json --XXXXX];;;;LE_U06_P093_EX04.zip;;4
